7.1770 	ERROR 	avbin.dll failed to load. Try importing psychopy.visual
  as the first library (before anything that uses scipy)
  and make sure that avbin is installed.
174.1257 	EXP 	window1: blendMode = 'avg'
174.1424 	EXP 	window1: blendMode = 'avg'
174.1590 	EXP 	window1: blendMode = 'avg'
174.1756 	EXP 	window1: blendMode = 'avg'
174.1924 	EXP 	window1: blendMode = 'avg'
174.2090 	EXP 	window1: blendMode = 'avg'
174.2258 	EXP 	window1: blendMode = 'avg'
174.2424 	EXP 	window1: blendMode = 'avg'
174.2589 	EXP 	window1: blendMode = 'avg'
174.2757 	EXP 	window1: blendMode = 'avg'
174.2924 	EXP 	window1: blendMode = 'avg'
174.3090 	EXP 	window1: blendMode = 'avg'
174.3259 	EXP 	window1: blendMode = 'avg'
174.3425 	EXP 	window1: blendMode = 'avg'
174.3589 	EXP 	window1: blendMode = 'avg'
174.3757 	EXP 	window1: blendMode = 'avg'
174.3924 	EXP 	window1: blendMode = 'avg'
174.4091 	EXP 	window1: blendMode = 'avg'
174.4257 	EXP 	window1: blendMode = 'avg'
174.4424 	EXP 	window1: blendMode = 'avg'
174.4592 	EXP 	window1: blendMode = 'avg'
174.4757 	EXP 	window1: blendMode = 'avg'
